2018-04-13 03:04:22,725 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.alura.listavip:listavip:0.0.1-SNAPSHOT @ C:\Users\GUSTAVO\eclipse-workspace\SpringBootV3\listavip\pom.xml.
2018-04-13 03:04:24,324 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 03:04:24,326 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-13 03:04:24,328 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 03:04:24,330 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-13 03:04:26,457 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 03:04:26,464 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 25 resources
2018-04-13 03:04:26,552 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 03:04:26,553 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-13 03:05:24,783 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.alura.listavip:listavip:0.0.1-SNAPSHOT @ C:\Users\GUSTAVO\eclipse-workspace\SpringBootV3\listavip\pom.xml.
